Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
64	-200.0	0.0	-200.0	-200.0	200.0	-62.48935	0.0030610887	-62.468395	-62.495537	260000	-0.0009406768	595.7012	0.0	-0.00065612793	1.0741376	1.7881394e-10	57.73683953285217
65	-200.0	0.0	-200.0	-200.0	200.0	-62.48946	0.003380565	-62.47405	-62.495396	264000	0.0037372708	595.71246	0.0	-0.00033569336	1.0741142	-2.980232e-10	58.73357939720154
66	-200.0	0.0	-200.0	-200.0	200.0	-62.489445	0.0045447988	-62.46682	-62.496643	268000	-0.007923773	595.69836	0.0	-0.0002746582	1.0744075	-2.1308662e-09	60.07588982582092
67	-200.0	0.0	-200.0	-200.0	200.0	-62.489704	0.004044077	-62.463997	-62.49688	272000	-0.00032029295	595.7009	0.0	-0.0005950928	1.0739306	6.407499e-10	60.913320541381836
68	-200.0	0.0	-200.0	-200.0	200.0	-62.489132	0.00397212	-62.465122	-62.495663	276000	0.0038036415	595.70526	0.0	-0.0005645752	1.0735476	6.705523e-10	61.94449019432068
69	-200.0	0.0	-200.0	-200.0	200.0	-62.489353	0.0036739504	-62.47551	-62.495235	280000	0.0010937604	595.699	0.0	-0.0012207031	1.0735588	-8.791685e-10	62.762778759002686
70	-200.0	0.0	-200.0	-200.0	200.0	-62.489456	0.0037849923	-62.473175	-62.49635	284000	0.001797355	595.7109	0.0	-0.00015258789	1.0736172	-5.5134297e-10	63.74218726158142
71	-200.0	0.0	-200.0	-200.0	200.0	-62.48964	0.003787815	-62.46178	-62.497173	288000	0.0005693475	595.7164	0.0	-0.00045776367	1.0738528	1.1771917e-09	64.65912294387817
72	-200.0	0.0	-200.0	-200.0	200.0	-62.489506	0.0044713737	-62.470596	-62.497276	292000	0.0024277633	595.68713	0.0	-0.00088500977	1.0741758	-6.1094757e-10	65.60920476913452
73	-200.0	0.0	-200.0	-200.0	200.0	-62.489086	0.0049726865	-62.460606	-62.49685	296000	0.0043129353	595.687	0.0	-0.005142212	1.0746205	1.1324882e-09	66.41426634788513
74	-200.0	0.0	-200.0	-200.0	200.0	-62.489437	0.0042006737	-62.473133	-62.49801	300000	-0.0008038102	595.6946	0.0	-0.0004119873	1.0754495	-1.3858079e-09	67.23133206367493
75	-200.0	0.0	-200.0	-200.0	200.0	-62.48884	0.0062719095	-62.45245	-62.498524	304000	-0.0003568912	595.7135	0.0	-0.00039672852	1.0761285	1.6391277e-09	68.18104243278503
76	-200.0	0.0	-200.0	-200.0	200.0	-62.489933	0.0051795514	-62.456806	-62.498634	308000	-0.00070495845	595.67786	0.0	-0.0030975342	1.0767117	-2.3543836e-09	68.97132134437561
77	-200.0	0.0	-200.0	-200.0	200.0	-62.488857	0.005547674	-62.46081	-62.49826	312000	-0.00014499092	595.71545	0.0	-0.0018615723	1.077107	1.4901158e-10	70.00645637512207
