Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
118	167.42857	79.67886	353.0	45.0	167.42857	59.79271	22.408937	84.20386	5.466127	476000	-0.04515135	304.58936	0.0	-63.04237	0.5884919	3.5762793e-10	83.47879815101624
119	164.66667	69.74671	309.0	28.0	164.66667	59.124424	19.525064	81.15576	6.804576	480000	-0.056071572	251.04057	0.0	-69.71039	0.58725727	5.9604655e-11	84.19197225570679
120	161.04546	68.23321	280.0	21.0	161.04546	55.408043	19.552645	77.423386	7.057359	484000	-0.052494504	261.9477	0.0	-43.277306	0.58394134	-1.490116e-09	84.92724466323853
121	168.4762	51.565605	285.0	65.0	168.4762	57.865025	20.7058	81.88059	5.3155375	488000	-0.058401816	251.53653	0.0	-51.791706	0.5889824	-7.450579e-11	85.58899998664856
122	180.65	71.91473	330.0	69.0	180.65	50.60529	21.079138	78.4064	1.3368955	492000	-0.038977318	300.3822	0.0	-118.207535	0.5863257	-2.3096797e-10	86.28001809120178
123	189.6842	82.47236	412.0	49.0	189.6842	59.644592	19.014652	80.94557	6.5521483	496000	-0.04530014	236.38786	0.0	-66.82873	0.5859487	-1.3411044e-10	87.01860928535461
124	179.05	53.555084	297.0	93.0	179.05	57.619812	20.599571	81.9616	6.082246	500000	-0.03664894	223.2245	0.0	-87.82739	0.5878198	1.0058283e-09	87.69204783439636
125	188.0	94.532005	425.0	69.0	188.0	56.95902	21.523119	83.74105	1.0685284	504000	-0.050440617	271.5814	0.0	-90.42666	0.58557546	5.2154073e-11	88.3698787689209
126	180.85715	57.698963	266.0	65.0	180.85715	58.379265	21.893053	87.0262	8.888985	508000	-0.052794702	186.51013	0.0	-50.85338	0.5836684	2.607703e-10	89.10928559303284
127	176.0	67.81258	289.0	39.0	176.0	56.828434	19.942194	82.16978	5.740351	512000	-0.04778577	336.8449	0.0	-104.874054	0.5774965	5.140901e-10	89.81625151634216
128	187.9	82.4384	310.0	57.0	187.9	58.32553	19.87355	81.17781	5.3313828	516000	-0.041320004	287.96524	0.0	-49.084732	0.57989764	5.9604655e-11	90.51974821090698
129	177.33333	70.843445	321.0	55.0	177.33333	57.910927	19.22024	82.889725	6.0419436	520000	-0.05753047	275.25754	0.0	-67.93183	0.57757115	7.674098e-10	91.26607990264893
130	175.0	80.292885	354.0	19.0	175.0	52.82107	21.617659	82.79961	4.5786185	524000	-0.04620746	398.9492	0.0	-154.03069	0.5789212	-1.490115e-11	91.97616577148438
131	213.625	94.17794	408.0	90.0	213.625	62.921513	18.303772	81.504585	7.107549	528000	-0.048913494	279.04065	0.0	-92.01881	0.5822835	-1.2069941e-09	92.62670016288757
132	169.0	54.545975	287.0	95.0	169.0	62.832752	22.102745	87.282074	9.384439	532000	-0.032402545	232.15077	0.0	-89.99678	0.5786497	1.5646218e-10	93.34627842903137
133	244.0	105.42928	424.0	75.0	244.0	58.725704	20.00917	87.76336	3.4973562	536000	-0.04957188	326.30316	0.0	-123.75694	0.5821388	7.748604e-10	94.06723308563232
134	236.28572	84.58421	361.0	104.0	236.28572	65.489655	21.101538	90.10129	3.7699833	540000	-0.03923612	217.51303	0.0	-94.918335	0.5813445	5.289913e-10	94.71520042419434
135	246.0	113.86132	500.0	80.0	246.0	69.766624	21.622633	88.98634	3.8267646	544000	-0.031491518	302.47556	0.0	-82.73195	0.5757233	7.4505846e-11	95.43610453605652
136	261.69232	126.47066	489.0	39.0	261.69232	59.846554	24.190218	87.79424	2.7663798	548000	-0.030943464	503.8073	0.0	-263.1153	0.58117956	1.1101365e-09	96.13442254066467
137	217.0625	68.793594	317.0	89.0	217.0625	64.7809	21.380415	91.309456	1.8403251	552000	-0.032892555	319.06332	0.0	-143.98694	0.5760627	-6.8545336e-10	96.76924800872803
138	245.57143	95.503716	393.0	114.0	245.57143	71.453384	19.635113	89.20351	0.39955366	556000	-0.026521714	220.65897	0.0	-80.17814	0.5760257	1.6391277e-09	97.46917581558228
139	185.36842	65.59622	335.0	100.0	185.36842	63.35225	23.823845	90.79273	5.191679	560000	-0.04619012	236.86581	0.0	-79.52923	0.5744693	-1.0579825e-09	98.15928077697754
